timestamp,temperature,humidity,pressure
1712606280674,31.55,21.15,1001.39
1712606281175,31.57,21.21,1001.4
1712606281678,31.56,21.25,1001.39
1712606282192,31.55,21.23,1001.43
1712606282694,31.56,21.15,1001.43
1712606283195,31.56,21.11,1001.44
1712606283696,31.56,21.12,1001.44
1712606284206,31.56,21.27,1001.47
1712606284710,31.56,21.36,1001.44
1712606285211,31.56,21.42,1001.44
1712606285712,31.58,21.43,1001.39
1712606286213,31.57,21.44,1001.41
1712606286723,31.57,21.61,1001.4
1712606287224,31.56,21.85,1001.4
1712606287724,31.58,21.99,1001.44
1712606288225,31.59,22.16,1001.46
1712606288726,31.56,22.32,1001.45
1712606289236,31.58,22.32,1001.43
1712606289737,31.57,22.43,1001.47
1712606290237,31.57,22.54,1001.45
1712606290738,31.57,22.53,1001.47
1712606291249,31.58,22.4,1001.45
1712606291750,31.59,22.11,1001.42
1712606292251,31.58,22.08,1001.45
1712606292754,31.59,22.17,1001.49
1712606293257,31.59,22.21,1001.42
1712606293764,31.59,22.13,1001.45
1712606294264,31.6,22.18,1001.47
1712606294765,31.6,22.19,1001.43
1712606295266,31.58,22.05,1001.47
1712606295781,31.59,21.88,1001.44
1712606296283,31.56,21.78,1001.48
1712606296785,31.57,21.57,1001.43
1712606297301,31.56,21.34,1001.39
1712606297802,31.56,21.16,1001.43
1712606298311,31.55,21.07,1001.46
1712606298814,31.55,20.95,1001.41
1712606299315,31.56,20.89,1001.4
1712606299818,31.57,20.86,1001.43
1712606300320,31.57,20.87,1001.41
1712606300828,31.56,20.93,1001.44
1712606301329,31.56,20.89,1001.45
1712606301829,31.57,20.9,1001.4
1712606302331,31.57,20.91,1001.46
1712606302839,31.56,20.88,1001.41
1712606303340,31.58,20.92,1001.44
1712606303841,31.57,20.94,1001.43
1712606304341,31.58,20.99,1001.44
1712606304843,31.57,21.16,1001.43
1712606305344,31.56,21.24,1001.4
1712606305855,31.55,21.22,1001.42
1712606306356,31.55,21.12,1001.44
1712606306859,31.55,20.95,1001.38
1712606307360,31.55,20.73,1001.46
1712606307871,31.54,20.61,1001.43
1712606308372,31.54,20.61,1001.43
1712606308874,31.54,20.54,1001.47
1712606309375,31.53,20.51,1001.48
1712606309876,31.52,20.53,1001.38
1712606310383,31.52,20.48,1001.45
1712606310884,31.53,20.39,1001.39
1712606311385,31.52,20.39,1001.41
1712606311885,31.53,20.54,1001.46
1712606312402,31.53,20.64,1001.44
1712606312917,31.54,20.74,1001.41
1712606313418,31.53,20.84,1001.43
1712606313920,31.54,20.92,1001.44
